CAPACITY,8
EMPTY_VEHICLE_WEIGHT,6
CUSTOMERS,250
NODES INFO
ID,XCOORD,YCOORD,DEMAND
0,20,20,0 
1,34,145,0.89 
2,65,30,0.34 
3,126,194,0.34 
4,53,24,0.77 
5,124,7,0.85 
6,155,195,0.52 
7,196,0,0.61 
8,58,151,0.49 
9,26,81,0.72 
10,138,2,0.68 
11,97,175,0.72
12,7,135,0.91
13,56,195,0.41
14,59,88,0.77
15,59,173,0.72
16,74,5,0.92
17,106,142,0.76
18,161,185,0.62
19,75,30,0.65
20,182,128,0.17
21,108,129,0.83
22,77,72,0.36
23,150,127,0.82
24,150,8,0.44
25,122,62,0.66
26,170,44,0.43
27,93,140,0.97
28,188,95,0.4
29,22,112,0.61
30,41,133,0.57
31,100,94,0.61
32,11,78,0.67
33,180,157,0.47
34,43,43,0.54
35,128,58,1.06
36,138,140,0.62
37,59,103,0.09
38,147,90,0.62
39,117,68,0.49
40,186,1,0.4
41,98,200,1.03
42,189,131,0.21
43,33,132,0.69
44,14,123,0.51
45,93,145,0.14
46,105,124,0.48
47,91,106,0.5
48,159,156,0.91
49,84,117,0.33
50,162,45,0.42
51,140,149,0.71
52,141,65,0.76
53,8,172,1.09
54,115,3,0.87
55,193,193,0.63
56,159,47,0.85
57,88,74,0.79
58,135,43,0.72
59,168,69,0.55
60,179,82,0.51
61,127,121,0.82
62,87,107,0.8
63,48,66,1.05
64,130,53,0.98
65,155,110,0.69
66,4,101,0.62
67,37,9,0.64
68,180,129,0.53
69,173,109,0.51
70,161,177,0.62
71,132,115,0.72
72,101,172,1
73,147,82,0.53
74,188,76,0.46
75,32,54,0.81
76,19,79,0.53
77,76,190,0.83
78,33,2,0.92
79,143,9,0.53
80,145,117,0.58
81,43,199,0.59
82,96,51,0.4
83,88,25,0.76
84,110,151,1
85,49,126,0.94
86,75,129,0.88
87,127,4,0.45
88,72,4,1.09
89,40,51,0.93
90,144,200,0.33
91,34,86,0.5
92,24,97,0.75
93,140,88,1.05
94,136,124,0.44
95,196,136,0.7
96,21,34,1.04
97,43,42,0.8
98,194,85,0.58
99,153,129,0.79
100,87,29,0.48
101,74,60,0.88
102,183,125,0.43
103,34,148,0.56
104,10,104,0.63
105,18,97,0.94
106,32,87,0.36
107,29,157,0.21
108,19,146,0.39
109,140,57,0.14
110,93,75,0.43
111,144,136,0.9
112,70,27,0.55
113,11,75,1.01
114,23,105,0.69
115,29,10,0.82
116,150,107,1.05
117,41,29,0.33
118,40,190,0.77
119,26,111,0.86
120,138,75,0.55
121,140,64,0.62
122,53,166,0.47
123,81,10,1.07
124,75,185,0.74
125,152,81,0.47
126,16,16,0.73
127,81,153,0.78
128,55,200,0.65
129,158,199,0.96
130,176,120,0.63
131,169,91,0.65
132,78,50,0.96
133,63,92,0.83
134,192,114,0.76
135,23,166,0.48
136,58,99,0.57
137,78,10,0.57
138,148,77,0.85
139,62,85,0.93
140,152,23,0.86
141,62,56,0.84
142,18,68,0.69
143,141,18,0.66
144,2,74,0.62
145,192,91,0.2
146,39,25,0.69
147,128,199,0.69
148,170,44,0.58
149,45,198,0.74
150,81,78,0.77
151,27,181,0.15
152,75,32,0.62
153,52,36,0.31
154,199,80,0.56
155,159,172,1.04
156,191,176,0.42
157,52,45,0.58
158,12,182,0.94
159,170,63,0.67
160,114,110,0.75
161,140,64,0.23
162,116,2,0.55
163,101,86,0.79
164,165,106,0.9
165,146,4,0.87
166,35,151,0.75
167,32,35,0.64
168,101,144,1.1
169,102,44,0.54
170,1,45,0.56
171,135,81,0.33
172,112,175,0.66
173,163,187,0.7
174,175,122,0.87
175,57,182,0.41
176,186,167,0.82
177,70,165,0.77
178,195,130,1.18
179,165,94,0.88
180,52,79,1
181,76,177,0.58
182,42,179,0.95
183,179,188,0.57
184,31,155,0.69
185,131,146,0.57
186,109,55,0.76
187,145,184,0.67
188,174,100,0.59
189,183,163,0.5
190,42,139,0.9
191,186,10,0.57
192,65,160,0.65
193,25,68,0.66
194,35,198,0.57
195,157,168,0.63
196,61,97,0.58
197,110,101,0.77
198,32,159,0.84
199,124,54,0.9
200,104,30,0.88
201,169,75,0.63
202,143,1,0.89
203,48,135,0.62
204,160,155,0.68
205,62,66,0.72
206,138,51,0.85
207,69,79,0.51
208,174,114,0.58
209,43,139,0.52
210,31,196,0.86
211,53,146,0.78
212,27,6,0.56
213,30,145,0.66
214,172,194,0.37
215,185,166,0.85
216,146,79,0.87
217,111,128,0.49
218,82,0,0.31
219,31,113,0.62
220,138,102,0.45
221,86,200,0.63
222,28,165,0.37
223,96,97,0.67
224,71,162,0.69
225,153,184,0.99
226,130,50,0.37
227,118,153,0.79
228,190,182,0.46
229,78,179,0.82
230,135,50,0.95
231,92,134,0.9
232,109,103,0.67
233,86,159,0.34
234,191,17,0.47
235,126,190,0.68
236,74,161,1.28
237,5,104,0.64
238,199,101,0.53
239,200,69,0.89
240,198,154,0.34
241,2,89,1.02
242,105,175,0.45
243,139,77,0.92
244,124,43,1.03
245,119,130,0.93
246,190,151,0.75
247,108,17,0.46
248,5,42,0.94
249,129,181,1
250,102,162,0.55
